6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 96.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 120.0, u'$a': 12.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 100.0, u'$a': 10.0}
4 | 4 | (4.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 84.0, u'$a': 14.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 84.0, u'$a': 14.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 52.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 84.0, u'$a': 14.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 112.0, u'$a': 14.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 120.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 104.0, u'$a': 13.0}
3!*2! | (('*', (0, 4)), (('!', (0, 1)), 3), (('!', (3, 4)), 2)) | (('*', 12, (0, 4)), (('!', 6, (0, 1)), (3.0,)), (('!', 2, (3, 4)), (2.0,))) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
12 | 12 | (12.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 40.0, u'$a': 10.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 130.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 104.0, u'$a': 13.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 96.0, u'$a': 12.0}
